name,type,country,rating
60minute,IPA,USA,4.09
Racer5,IPA,USA,4.19
Founders Harvest,IPA,USA,4.27
Stone IPA,IPA,USA,4.22
Anchor Liberty,IPA,USA,3.89
Nelson,IPA,USA,4.48
Houblon Chouffe IPA,IPA,Belgium,4.21
Muffin Top,IPA,Belgium,3.81
Derniere Volonte,IPA,Belgium,3.99
Gouden Carolus,IPA,Belgium,4.04
Troubadour,IPA,Belgium,3.93
Hopus,IPA,Belgium,3.72
Blackheart,IPA,UK,4.02
Shipyard,IPA,UK,3.25
Arcadia,IPA,UK,3.49
Sweet Child of Vine,IPA,UK,3.62
Jaipur,IPA,UK,4.02
St Peters,IPA,UK,3.37
Brooklyn,Lager,USA,3.73
Old Scratch Amber,Lager,USA,3.42
Blue Point,Lager,USA,3.54
Miller,Lager,USA,2.56
Coney Island,Lager,USA,3.65
Trader Joes,Lager,USA,3.27
Biere du Demon,Lager,Belgium,2.44
Christoffel Nobel,Lager,Belgium,3.72
XO,Lager,Belgium,3.24
Boris Bold,Lager,Belgium,3.12
Massacre,Lager,Belgium,3.9
1554 Black,Lager,Belgium,3.73
River Horse,Lager,UK,3.26
Harp,Lager,UK,3.22
Fathom,Lager,UK,3.87
Heavy Seas,Lager,UK,3.74
Cotswold,Lager,UK,2.84
Leeds,Lager,UK,3.73